input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
124,621478.4535982269,7741196.357898448,124,621479.5331288537,7741196.450715376,229.0,621478.4834666635,7741195.053868885
125,621480.9713988825,7741195.18891967,125,621482.0881421382,7741195.024661451,249.0,621482.1223532325,7741193.751543089
126,621487.3094283616,7741191.615922064,126,621485.5938580405,7741192.930144746,225.0,621485.9239427089,7741192.255581319
127,621490.2534343285,7741190.864633663,127,621489.3223948686,7741190.226584177,224.0,621490.0150775444,7741190.973224802
128,621492.8960915982,7741190.746261057,128,621492.8132560423,7741188.651982968,225.0,621493.7406186449,7741189.557287677
129,621496.2436943281,7741187.411505197,129,621498.1758129942,7741187.121945942,227.0,621497.6142182802,7741187.83126973
130,621501.8139169744,7741187.348301298,130,621500.136637143,7741186.319790608,205.0,621501.6146360661,7741186.378233395
131,621505.0428548345,7741185.972390963,131,621505.2912278974,7741184.151000262,211.0,621505.0764308231,7741184.661459409
132,621507.3671756758,7741182.393383186,132,621507.9502242808,7741181.937645731,202.0,621508.5358317331,7741182.909049072
133,621363.4577656912,7741231.124360801,133,621365.0477370836,7741229.933273187,221.0,621364.6038661081,7741230.767825084
134,621367.1638777468,7741230.19226566,134,621368.2415036894,7741230.7354285205,200.0,621367.4672253369,7741230.357643661
135,621369.1110158609,7741229.181583774,135,621370.4102940356,7741230.794847434,194.0,621370.3304261245,7741229.83340569
136,621373.6889935535,7741229.04881552,136,621375.7579962591,7741229.665888077,249.0,621374.3394504032,7741229.597922442
137,621379.31959239,7741227.85939058,137,621379.5459520009,7741228.388381434,212.0,621378.3880999979,7741228.817565119
138,621383.0366123945,7741228.23659353,138,621381.8632896311,7741229.383648237,217.0,621382.3598033268,7741228.098858755
139,621385.9847651821,7741225.864500999,139,621385.7997926568,7741227.214857891,217.0,621386.3194274193,7741227.197112624
140,621390.0212411534,7741227.086050174,140,621390.4938868309,7741226.175026903,225.0,621390.3029221208,7741226.47057122
141,621393.5730602763,7741224.178136718,141,621394.4006803997,7741226.84348968,220.0,621394.2270327433,7741225.479981151
142,621399.2597891544,7741225.801332691,142,621399.7632373518,7741225.075777001,238.0,621398.4157063492,7741224.625625681
143,621402.9765278596,7741223.961782017,143,621402.1399938957,7741224.139929112,226.0,621402.139646026,7741223.855484749
144,621406.1573863953,7741224.184153748,144,621406.254753662,7741222.075121865,215.0,621406.5491407975,7741223.17889769
145,621409.2096085646,7741223.000961476,145,621410.7705910953,7741223.010969754,219.0,621410.4909734005,7741222.227226988
146,621415.8557775534,7741220.790606415,146,621414.4545637383,7741220.901598321,221.0,621414.4763419207,7741221.411642342
147,621417.3774553693,7741220.256518537,147,621417.9602796404,7741219.817203147,221.0,621418.244909006,7741220.558091299
148,621420.9066355932,7741218.991457867,148,621421.6739617401,7741220.54508484,194.0,621422.1468637723,7741219.723559865
149,621427.1891068476,7741218.716045168,149,621426.249218087,7741218.643679605,214.0,621426.2361269381,7741218.572576212
